Experiment Log
Z:\Data\2019\03Mar19\20\4_SF_heating\

3/20/2019 11:21:31 AM

Experiment Program Used:
Z:\experiments\diagnostics\Make_MI_hold_SF_eject_subroutines.vb

Batch Length:  
60

==========================
lattice1_max,  lattice2_max,  lattice_mid,  hold_dur,  lattice_eject,  hold_dur_ej ,  pinning_hold_time,  ExpansionTime,  red_freq,  round_dimple_voltage,  isBigLatt ,  new_axialVolt ,  free_var,  
--------------------------
45,  45,  1,  8000,  1,  400,  600,  0,  18,  3.9,  0,  3.6,  0,  
45,  45,  2,  8000,  1.5,  400,  600,  0,  18,  3.9,  0,  3.6,  0,  
45,  45,  3,  8000,  1.5,  400,  600,  0,  18,  3.9,  0,  3.6,  0,  
45,  45,  4,  8000,  1.5,  400,  600,  0,  18,  3.9,  0,  3.6,  0,  
45,  45,  5,  8000,  1.5,  400,  600,  0,  18,  3.9,  0,  3.6,  0,  
45,  45,  6,  8000,  1.5,  400,  600,  0,  18,  3.9,  0,  3.6,  0,  
45,  45,  7,  8000,  1.5,  400,  600,  0,  18,  3.9,  0,  3.6,  0,  
45,  45,  8,  8000,  1.5,  400,  600,  0,  18,  3.9,  0,  3.6,  0,  
45,  45,  9,  8000,  1.5,  400,  600,  0,  18,  3.9,  0,  3.6,  0,  
45,  45,  10,  8000,  1.5,  400,  600,  0,  18,  3.9,  0,  3.6,  0,  
45,  45,  11,  8000,  1.5,  400,  600,  0,  18,  3.9,  0,  3.6,  0,  
45,  45,  12,  8000,  1.5,  400,  600,  0,  18,  3.9,  0,  3.6,  0,  
45,  45,  13,  8000,  1.5,  400,  600,  0,  18,  3.9,  0,  3.6,  0,  
45,  45,  14,  8000,  1.5,  400,  600,  0,  18,  3.9,  0,  3.6,  0,  
45,  45,  15,  8000,  1.5,  400,  600,  0,  18,  3.9,  0,  3.6,  0,  
45,  45,  16,  8000,  1.5,  400,  600,  0,  18,  3.9,  0,  3.6,  0,  
45,  45,  17,  8000,  1.5,  400,  600,  0,  18,  3.9,  0,  3.6,  0,  
45,  45,  18,  8000,  1.5,  400,  600,  0,  18,  3.9,  0,  3.6,  0,  
