Experiment Log
Z:\Data\2019\03Mar19\19\2_bd_hold_2d_latt_heating\

3/19/2019 2:22:13 PM

Experiment Program Used:
Z:\experiments\diagnostics\Make_MI_subroutines_hold_bd.vb

Batch Length:  
35

==========================
lattice1_max,  lattice2_max,  pinning_hold_time,  ExpansionTime,  new_axial_volt ,  red_freq,  round_dimple_voltage,  isDonutHold ,  HoldDur ,  free_var,  
--------------------------
1,  1,  600,  15,  3.2,  25,  3.9,  1,  0,  0,  
1,  1,  600,  15,  3.2,  25,  3.9,  1,  2000,  0,  
1,  1,  600,  15,  3.2,  25,  3.9,  1,  4000,  0,  
1,  1,  600,  15,  3.2,  25,  3.9,  1,  6000,  0,  
1,  1,  600,  15,  3.2,  25,  3.9,  1,  8000,  0,  
1,  1,  600,  15,  3.2,  25,  3.9,  1,  10000,  0,  
1,  1,  600,  15,  3.2,  25,  3.9,  1,  12000,  0,  
2,  2,  600,  15,  3.2,  25,  3.9,  1,  0,  0,  
2,  2,  600,  15,  3.2,  25,  3.9,  1,  2000,  0,  
2,  2,  600,  15,  3.2,  25,  3.9,  1,  4000,  0,  
2,  2,  600,  15,  3.2,  25,  3.9,  1,  6000,  0,  
2,  2,  600,  15,  3.2,  25,  3.9,  1,  8000,  0,  
2,  2,  600,  15,  3.2,  25,  3.9,  1,  10000,  0,  
2,  2,  600,  15,  3.2,  25,  3.9,  1,  12000,  0,  
4,  4,  600,  15,  3.2,  25,  3.9,  1,  0,  0,  
4,  4,  600,  15,  3.2,  25,  3.9,  1,  2000,  0,  
4,  4,  600,  15,  3.2,  25,  3.9,  1,  4000,  0,  
4,  4,  600,  15,  3.2,  25,  3.9,  1,  6000,  0,  
4,  4,  600,  15,  3.2,  25,  3.9,  1,  8000,  0,  
4,  4,  600,  15,  3.2,  25,  3.9,  1,  10000,  0,  
4,  4,  600,  15,  3.2,  25,  3.9,  1,  12000,  0,  
6,  6,  600,  15,  3.2,  25,  3.9,  1,  0,  0,  
6,  6,  600,  15,  3.2,  25,  3.9,  1,  2000,  0,  
6,  6,  600,  15,  3.2,  25,  3.9,  1,  4000,  0,  
6,  6,  600,  15,  3.2,  25,  3.9,  1,  6000,  0,  
6,  6,  600,  15,  3.2,  25,  3.9,  1,  8000,  0,  
6,  6,  600,  15,  3.2,  25,  3.9,  1,  10000,  0,  
6,  6,  600,  15,  3.2,  25,  3.9,  1,  12000,  0,  
8,  8,  600,  15,  3.2,  25,  3.9,  1,  0,  0,  
8,  8,  600,  15,  3.2,  25,  3.9,  1,  2000,  0,  
8,  8,  600,  15,  3.2,  25,  3.9,  1,  4000,  0,  
8,  8,  600,  15,  3.2,  25,  3.9,  1,  6000,  0,  
8,  8,  600,  15,  3.2,  25,  3.9,  1,  8000,  0,  
8,  8,  600,  15,  3.2,  25,  3.9,  1,  10000,  0,  
8,  8,  600,  15,  3.2,  25,  3.9,  1,  12000,  0,  
